id,opcode,mode,size,cycles,extracycle
0x00,brk,impl,1,7,0
0x01,ora,indx,2,6,0
0x02,kil,impl,1,0,0
0x03,slo,indx,2,8,0
0x04,nop,zerp,2,3,0
0x05,ora,zerp,2,3,0
0x06,asl,zerp,2,5,0
0x07,slo,zerp,2,5,0
0x08,php,impl,1,3,0
0x09,ora,imme,2,2,0
0x0a,asl,accu,1,2,0
0x0b,anc,imme,2,2,0
0x0c,top,abso,3,4,0
0x0d,ora,abso,3,4,0
0x0e,asl,abso,3,6,0
0x0f,slo,abso,3,6,0
0x10,bpl,rela,2,2,1
0x11,ora,indy,2,5,1
0x12,kil,impl,1,0,0
0x13,slo,indy,2,8,0
0x14,nop,zerx,2,4,0
0x15,ora,zerx,2,4,0
0x16,asl,zerx,2,6,0
0x17,slo,zerx,2,6,0
0x18,clc,impl,1,2,0
0x19,ora,absy,3,4,1
0x1a,nop,impl,1,2,0
0x1b,slo,absy,3,7,0
0x1c,top,absx,3,4,1
0x1d,ora,absx,3,4,1
0x1e,asl,absx,3,7,0
0x1f,slo,absx,3,7,0
0x20,jsr,abso,3,6,0
0x21,and,indx,2,6,0
0x22,kil,impl,1,0,0
0x23,rla,indx,2,8,0
0x24,bit,zerp,2,3,0
0x25,and,zerp,2,3,0
0x26,rol,zerp,2,5,0
0x27,rla,zerp,2,5,0
0x28,plp,impl,1,4,0
0x29,and,imme,2,2,0
0x2a,rol,accu,1,2,0
0x2b,anc,imme,2,2,0
0x2c,bit,abso,3,4,0
0x2d,and,abso,3,4,0
0x2e,rol,abso,3,6,0
0x2f,rla,abso,3,6,0
0x30,bmi,rela,2,2,1
0x31,and,indy,2,5,1
0x32,kil,impl,1,0,0
0x33,rla,indy,2,8,0
0x34,nop,zerx,2,4,0
0x35,and,zerx,2,4,0
0x36,rol,zerx,2,6,0
0x37,rla,zerx,2,6,0
0x38,sec,impl,1,2,0
0x39,and,absy,3,4,1
0x3a,nop,impl,1,2,0
0x3b,rla,absy,3,7,0
0x3c,top,absx,3,4,1
0x3d,and,absx,3,4,1
0x3e,rol,absx,3,7,0
0x3f,rla,absx,3,7,0
0x40,rti,impl,1,6,0
0x41,eor,indx,2,6,0
0x42,kil,impl,1,0,0
0x43,sre,indx,2,8,0
0x44,nop,zerp,2,3,0
0x45,eor,zerp,2,3,0
0x46,lsr,zerp,2,5,0
0x47,sre,zerp,2,5,0
0x48,pha,impl,1,3,0
0x49,eor,imme,2,2,0
0x4a,lsr,accu,1,2,0
0x4b,asr,imme,2,2,0
0x4c,jmp,abso,3,3,0
0x4d,eor,abso,3,4,0
0x4e,lsr,abso,3,6,0
0x4f,sre,abso,3,6,0
0x50,bvc,rela,2,2,1
0x51,eor,indy,2,5,1
0x52,kil,impl,1,0,0
0x53,sre,indy,2,8,0
0x54,nop,zerx,2,4,0
0x55,eor,zerx,2,4,0
0x56,lsr,zerx,2,6,0
0x57,sre,zerx,2,6,0
0x58,cli,impl,1,2,0
0x59,eor,absy,3,4,1
0x5a,nop,impl,1,2,0
0x5b,sre,absy,3,7,0
0x5c,top,absx,3,4,1
0x5d,eor,absx,3,4,1
0x5e,lsr,absx,3,7,0
0x5f,sre,absx,3,7,0
0x60,rts,impl,1,6,0
0x61,adc,indx,2,6,0
0x62,kil,impl,1,0,0
0x63,rra,indx,2,8,0
0x64,nop,zerp,2,3,0
0x65,adc,zerp,2,3,0
0x66,ror,zerp,2,5,0
0x67,rra,zerp,2,5,0
0x68,pla,impl,1,4,0
0x69,adc,imme,2,2,0
0x6a,ror,accu,1,2,0
0x6b,arr,imme,2,2,0
0x6c,jmp,indi,3,5,0
0x6d,adc,abso,3,4,0
0x6e,ror,abso,3,6,0
0x6f,rra,abso,3,6,0
0x70,bvs,rela,2,2,1
0x71,adc,indy,2,5,1
0x72,kil,impl,1,0,0
0x73,rra,indy,2,8,0
0x74,nop,zerx,2,4,0
0x75,adc,zerx,2,4,0
0x76,ror,zerx,2,6,0
0x77,rra,zerx,2,6,0
0x78,sei,impl,1,2,0
0x79,adc,absy,3,4,1
0x7a,nop,impl,1,2,0
0x7b,rra,absy,3,7,0
0x7c,top,absx,3,4,1
0x7d,adc,absx,3,4,1
0x7e,ror,absx,3,7,0
0x7f,rra,absx,3,7,0
0x80,nop,imme,2,2,0
0x81,sta,indx,2,6,0
0x82,nop,imme,2,2,0
0x83,aax,indx,2,6,0
0x84,sty,zerp,2,3,0
0x85,sta,zerp,2,3,0
0x86,stx,zerp,2,3,0
0x87,aax,zerp,2,3,0
0x88,dey,impl,1,2,0
0x89,nop,imme,2,2,0
0x8a,txa,impl,1,2,0
0x8b,xaa,imme,2,2,0
0x8c,sty,abso,3,4,0
0x8d,sta,abso,3,4,0
0x8e,stx,abso,3,4,0
0x8f,aax,abso,3,4,0
0x90,bcc,rela,2,2,0
0x91,sta,indy,2,6,1
0x92,kil,impl,1,0,0
0x93,axa,absy,2,6,0
0x94,sty,zerx,2,4,0
0x95,sta,zerx,2,4,0
0x96,stx,zery,2,4,0
0x97,aax,zery,2,4,0
0x98,tya,impl,1,2,0
0x99,sta,absy,3,5,0
0x9a,txs,impl,1,2,0
0x9b,xas,absy,3,5,0
0x9c,sya,absx,3,5,0
0x9d,sta,absx,3,5,0
0x9e,sxa,absy,3,5,0
0x9f,axa,absy,3,5,0
0xa0,ldy,imme,2,2,0
0xa1,lda,indx,2,6,0
0xa2,ldx,imme,2,2,0
0xa3,lax,indx,2,6,0
0xa4,ldy,zerp,2,3,0
0xa5,lda,zerp,2,3,0
0xa6,ldx,zerp,2,3,0
0xa7,lax,zerp,2,3,0
0xa8,tay,impl,1,2,0
0xa9,lda,imme,2,2,0
0xaa,tax,impl,1,2,0
0xab,atx,imme,2,2,0
0xac,ldy,abso,3,4,0
0xad,lda,abso,3,4,0
0xae,ldx,abso,3,4,0
0xaf,lax,abso,3,4,0
0xb0,bcs,rela,2,2,1
0xb1,lda,indy,2,5,1
0xb2,kil,impl,1,0,0
0xb3,lax,indy,2,5,0
0xb4,ldy,zerx,2,4,0
0xb5,lda,zerx,2,4,0
0xb6,ldx,zery,2,4,0
0xb7,lax,zery,2,4,0
0xb8,clv,impl,1,2,0
0xb9,lda,absy,3,4,1
0xba,tsx,impl,1,2,0
0xbb,lar,absy,3,4,1
0xbc,ldy,absx,3,4,1
0xbd,lda,absx,3,4,1
0xbe,ldx,absy,3,4,1
0xbf,lax,absy,3,4,1
0xc0,cpy,imme,2,2,0
0xc1,cmp,indx,2,6,0
0xc2,nop,imme,2,2,0
0xc3,dcp,indx,2,8,0
0xc4,cpy,zerp,2,3,0
0xc5,cmp,zerp,2,3,0
0xc6,dec,zerp,2,5,0
0xc7,dcp,zerp,2,5,0
0xc8,iny,impl,1,2,0
0xc9,cmp,imme,2,2,0
0xca,dex,impl,1,2,0
0xcb,axs,imme,2,2,0
0xcc,cpy,abso,3,4,0
0xcd,cmp,abso,3,4,0
0xce,dec,abso,3,6,0
0xcf,dcp,abso,3,6,0
0xd0,bne,rela,2,2,1
0xd1,cmp,indy,2,5,1
0xd2,kil,impl,1,0,0
0xd3,dcp,indy,2,8,0
0xd4,nop,zerx,2,4,0
0xd5,cmp,zerx,2,4,0
0xd6,dec,zerx,2,6,0
0xd7,dcp,zerx,2,6,0
0xd8,cld,impl,1,2,0
0xd9,cmp,absy,3,4,1
0xda,nop,impl,1,2,0
0xdb,dcp,absy,3,7,0
0xdc,top,absx,3,4,1
0xdd,cmp,absx,3,4,1
0xde,dec,absx,3,7,0
0xdf,dcp,absx,3,7,0
0xe0,cpx,imme,2,2,0
0xe1,sbc,indx,2,6,0
0xe2,nop,imme,2,2,0
0xe3,isb,indx,2,8,0
0xe4,cpx,zerp,2,3,0
0xe5,sbc,zerp,2,3,0
0xe6,inc,zerp,2,5,0
0xe7,isb,zerp,2,5,0
0xe8,inx,impl,1,2,0
0xe9,sbc,imme,2,2,0
0xea,nop,impl,1,2,0
0xeb,sbc,imme,2,2,0
0xec,cpx,abso,3,4,0
0xed,sbc,abso,3,4,0
0xee,inc,abso,3,6,0
0xef,isb,abso,3,6,0
0xf0,beq,rela,2,2,1
0xf1,sbc,indy,2,5,1
0xf2,kil,impl,1,0,0
0xf3,isb,indy,2,8,0
0xf4,nop,zerx,2,4,0
0xf5,sbc,zerx,2,4,0
0xf6,inc,zerx,2,6,0
0xf7,isb,zerx,2,6,0
0xf8,sed,impl,1,2,0
0xf9,sbc,absy,3,4,1
0xfa,nop,impl,1,2,0
0xfb,isb,absy,3,7,0
0xfc,top,absx,3,4,1
0xfd,sbc,absx,3,4,1
0xfe,inc,absx,3,7,0
0xff,isb,absx,3,7,0
