NOP  Impliedtype3 1 00
TCALL 0 Impliedtype3 1 01
SET1 d.0 DirectPageBit 2 02
BBS d.0,r DirectPageBitRelative 3 03
OR A,d DirectPage 2 04
OR A,!a Absolute 3 05
OR A,(X) Impliedtype1 1 06
OR A,[d+X] DirectPageIndexedbyX 2 07
OR A,#i Immediate 2 08
OR dd,ds DirectPage 3 09
OR1 C,m.b AbsoluteBooleanBit 3 0A
ASL d DirectPage 2 0B
ASL !a Absolute 3 0C
PUSH PSW StackPSW 1 0D
TSET1 !a Absolute 3 0E
BRK  StackInterrupt 1 0F
BPL r ProgramCounterRelative 2 10
TCALL 1 Impliedtype3 1 11
CLR1 d.0 DirectPageBit 2 12
BBC d.0,r DirectPageBitRelative 3 13
OR A,d+X DirectPageIndexedbyX 2 14
OR A,!a+X AbsoluteIndexedbyX 3 15
OR A,!a+Y AbsoluteIndexedbyY 3 16
OR A,[d]+Y DirectPageIndirectIndexedbyY 2 17
OR d,#i DirectPageImmediate 3 18
OR (X),(Y) ImpliedIndirecttype1 1 19
DECW d DirectPage 2 1A
ASL d+X DirectPageIndexedbyX 2 1B
ASL A Accumulator 1 1C
DEC X Impliedtype1 1 1D
CMP X,!a Absolute 3 1E
JMP [!a+X] AbsoluteIndexedbyX 3 1F
CLRP  Impliedtype2 1 20
TCALL 2 Impliedtype3 1 21
SET1 d.1 DirectPageBit 2 22
BBS d.1,r DirectPageBitRelative 3 23
AND A,d DirectPage 2 24
AND A,!a Absolute 3 25
AND A,(X) ImpliedIndirecttype1 1 26
AND A,[d+X] DirectPageIndexedbyX 2 27
AND A,#i Immediate 2 28
AND dd,ds DirectPage 3 29
OR1 C,/m.b AbsoluteBooleanBit 3 2A
ROL d DirectPage 2 2B
ROL !a Absolute 3 2C
PUSH A Accumulator 1 2D
CBNE d,r DirectPageProgramCounterRelative 3 2E
BRA r ProgramCounterRelative 2 2F
BMI r ProgramCounterRelative 2 30
TCALL 3 Impliedtype3 1 31
CLR1 d.1 DirectPageBit 2 32
BBC d.1,r DirectPageBitRelative 3 33
AND A,d+X DirectPageIndexedbyX 2 34
AND A,!a+X AbsoluteIndexedbyX 3 35
AND A,!a+Y AbsoluteIndexedbyY 3 36
AND A,[d]+Y DirectPageIndirectIndexedbyY 2 37
AND d,#i DirectPageImmediate 3 38
AND (X),(Y) ImpliedIndirecttype1 1 39
INCW d DirectPage 2 3A
ROL d+X DirectPageIndexedbyX 2 3B
ROL A Accumulator 1 3C
INC X Impliedtype1 1 3D
CMP X,d DirectPage 2 3E
CALL !a Absolute 3 3F
SETP  Impliedtype2 1 40
TCALL 4 Impliedtype3 1 41
SET1 d.2 DirectPageBit 2 42
BBS d.2,r DirectPageBitRelative 3 43
EOR A,d DirectPage 2 44
EOR A,!a Absolute 3 45
EOR A,(X) ImpliedIndirecttype2 1 46
EOR A,[d+X] DirectPageIndexedIndirectbyX 2 47
EOR A,#i Immediate 2 48
EOR dd,ds DirectPage 3 49
AND1 C,m.b AbsoluteBooleanBit 3 4A
LSR d DirectPage 2 4B
LSR !a Absolute 3 4C
PUSH X StackX 1 4D
TCLR1 !a Absolute 3 4E
PCALL u UppermostPage 2 4F
BVC r ProgramCounterRelative 2 50
TCALL 5 Impliedtype3 1 51
CLR1 d.2 DirectPageBit 2 52
BBC d.2,r DirectPageBitRelative 3 53
EOR A,d+X DirectPageIndexedbyX 2 54
EOR A,!a+X AbsoluteIndexedbyX 3 55
EOR A,!a+Y AbsoluteIndexedbyY 3 56
EOR A,[d]+Y DirectPageIndirectIndexedbyY 2 57
EOR d,#i DirectPageImmediate 3 58
EOR (X),(Y) ImpliedIndirecttype1 1 59
CMPW YA,d DirectPage 2 5A
LSR d+X DirectPageIndexedbyX 2 5B
LSR A Accumulator 1 5C
